Имя объекта;Тип объекта;Синоним;Файл
Документ.РеализацияУслугПоПереработке;Документ;Реализация услуг по переработке;Документ_РеализацияУслугПоПереработке.md
Документ.РегистрацияОплатыНДСВБюджет;Документ;Регистрация оплаты НДС в бюджет;Документ_РегистрацияОплатыНДСВБюджет.md
Документ.РегистрацияОплатыОсновныхСредствДляУСН;Документ;Регистрация оплаты ОС и НМА для УСН;Документ_РегистрацияОплатыОсновныхСредствДляУСН.md
Документ.РегистрацияПростоевРаботниковОрганизаций;Документ;Регистрация простоев сотрудников организаций;Документ_РегистрацияПростоевРаботниковОрганизаций.md
Документ.РегистрацияРазовыхНачисленийРаботниковОрганизаций;Документ;Регистрация разовых начислений сотрудников организаций;Документ_РегистрацияРазовыхНачисленийРаботниковОрганизаций.md
Документ.РегистрацияРазовыхУдержанийРаботниковОрганизаций;Документ;Регистрация разовых удержаний сотрудников организаций;Документ_РегистрацияРазовыхУдержанийРаботниковОрганизаций.md
Документ.РегламентированныйОтчет;Документ;Регламентированный отчет;Документ_РегламентированныйОтчет.md
Документ.РегламентныеОперацииНалоговогоУчетаПоНалогуНаПрибыль;Документ;Регламентные операции налогового учета (по налогу на прибыль);Документ_РегламентныеОперацииНалоговогоУчетаПоНалогуНаПрибыль.md
Документ.РегламентныеОперацииНалоговогоУчетаПоУСН;Документ;Регламентные операции налогового учета (по УСН);Документ_РегламентныеОперацииНалоговогоУчетаПоУСН.md
Документ.РеестрДанныхЭЛНЗаполняемыхРаботодателем;Документ;Реестр данных ЭЛН заполняемых работодателем;Документ_РеестрДанныхЭЛНЗаполняемыхРаботодателем.md
Документ.РеестрДСВ3;Документ;Реестр ДСВ-3;Документ_РеестрДСВ3.md
Документ.РеестрСведенийВФССОЕжемесячныхПособияхПоУходу;Документ;Реестр сведений в ФСС о ежемесячных пособиях по уходу;Документ_РеестрСведенийВФССОЕжемесячныхПособияхПоУходу.md
Документ.РеестрСведенийВФССОПособияхПоНетрудоспособности;Документ;Реестр сведений в ФСС о пособиях по нетрудоспособности;Документ_РеестрСведенийВФССОПособияхПоНетрудоспособности.md
Документ.РеестрСведенийВФССОПособияхПриРожденииРебенка;Документ;Реестр сведений в ФСС о пособиях при рождении ребенка;Документ_РеестрСведенийВФССОПособияхПриРожденииРебенка.md
Документ.РеестрСчетов;Документ;Реестр счетов;Документ_РеестрСчетов.md
Документ.РезервированиеПомещений;Документ;Резервирование помещений;Документ_РезервированиеПомещений.md
Документ.РезервированиеТоваров;Документ;Резервирование товаров;Документ_РезервированиеТоваров.md
Документ.РезультатИспытательногоСрока;Документ;Результат испытательного срока;Документ_РезультатИспытательногоСрока.md
Документ.СведенияОВзносахИСтраховомСтажеСПВ1;Документ;Сведения о взносах и страховом стаже СПВ-1;Документ_СведенияОВзносахИСтраховомСтажеСПВ1.md
Документ.СведенияОДоходахФизлиц;Документ;Сведения о доходах физлиц по 2009 год;Документ_СведенияОДоходахФизлиц.md
Документ.СведенияОЗаработкеСтажеЗастрахованныхЛицСЗВ_ИСХ;Документ;Сведения о заработке и стаже застрахованных лиц, СЗВ-ИСХ;Документ_СведенияОЗаработкеСтажеЗастрахованныхЛицСЗВ_ИСХ.md
Документ.СведенияОЗастрахованныхЛицахСЗВ_М;Документ;Сведения о застрахованных лицах, СЗВ-М;Документ_СведенияОЗастрахованныхЛицахСЗВ_М.md
Документ.СведенияОЗастрахованныхЛицахФСС;Документ;Сведения о застрахованных лицах, ФСС;Документ_СведенияОЗастрахованныхЛицахФСС.md
Документ.СведенияОНачисленномЗаработкеСЗВ63;Документ;Сведения о начисленном заработке СЗВ-6-3;Документ_СведенияОНачисленномЗаработкеСЗВ63.md
Документ.СведенияОСтраховомСтажеЗастрахованныхЛицСЗВ_СТАЖ;Документ;Сведения о страховом стаже застрахованных лиц, СЗВ-СТАЖ;Документ_СведенияОСтраховомСтажеЗастрахованныхЛицСЗВ_СТАЖ.md
Документ.СведенияОТрудовойДеятельностиРаботниковСЗВ_ТД;Документ;Сведения о трудовой деятельности работников, СЗВ-ТД;Документ_СведенияОТрудовойДеятельностиРаботниковСЗВ_ТД.md
Документ.СведенияОТрудовойДеятельностиРаботниковСТД_Р;Документ;Сведения о трудовой деятельности работников, СТД-Р;Документ_СведенияОТрудовойДеятельностиРаботниковСТД_Р.md
Документ.СведенияОТрудовомСтажеЗастрахованногоЛицаСЗВК;Документ;Сведения о трудовом стаже застрахованного лица (СЗВ-К);Документ_СведенияОТрудовомСтажеЗастрахованногоЛицаСЗВК.md
Документ.СведенияОТрудовомСтажеИЗаработкеСЗВ4;Документ;Сведения о страховых взносах и стаже застрахованных лиц (СЗВ-4, СЗВ-6);Документ_СведенияОТрудовомСтажеИЗаработкеСЗВ4.md
Документ.СдельныйНаряд;Документ;Сдельный наряд на выполненные работы;Документ_СдельныйНаряд.md
Документ.СертификацияНоменклатуры;Документ;Сертификация номенклатуры;Документ_СертификацияНоменклатуры.md
Документ.Событие;Документ;Событие;Документ_Событие.md
Документ.СписаниеДепонентовВДоходыОрганизаций;Документ;Списание депонентов в доходы организаций;Документ_СписаниеДепонентовВДоходыОрганизаций.md
Документ.СписаниеКодовМаркировкиИСМП;Документ;Списание кодов маркировки ИС МП;Документ_СписаниеКодовМаркировкиИСМП.md
Документ.СписаниеМатериаловИзЭксплуатации;Документ;Списание материалов из эксплуатации;Документ_СписаниеМатериаловИзЭксплуатации.md
Документ.СписаниеМПЗМеждународный;Документ;Списание МПЗ (международный);Документ_СписаниеМПЗМеждународный.md
Документ.СписаниеНДС;Документ;Списание НДС;Документ_СписаниеНДС.md
Документ.СписаниеНЗП;Документ;Списание незавершенного производства;Документ_СписаниеНЗП.md
Документ.СписаниеНМА;Документ;Списание НМА;Документ_СписаниеНМА.md
Документ.СписаниеОС;Документ;Списание ОС;Документ_СписаниеОС.md
Документ.СписаниеПартийЗЕРНО;Документ;Списание партий ФГИС "Зерно";Документ_СписаниеПартийЗЕРНО.md
Документ.СписаниеРасходовБудущихПериодов;Документ;Списание расходов будущих периодов;Документ_СписаниеРасходовБудущихПериодов.md
Документ.СписаниеТоваров;Документ;Списание товаров;Документ_СписаниеТоваров.md
Документ.СправкаДругогоСтрахователяОЗаработке;Документ;Справка другого страхователя о заработке;Документ_СправкаДругогоСтрахователяОЗаработке.md
Документ.СправкаОЗаработкеДляРасчетаПособий;Документ;Справка о заработке для расчета пособий;Документ_СправкаОЗаработкеДляРасчетаПособий.md
Документ.СправкаПоНДФЛВНалоговыйОрган;Документ;Справка 2-НДФЛ для передачи в ИФНС (с 2010 по 2014 год);Документ_СправкаПоНДФЛВНалоговыйОрган.md
Документ.СправкаПоНДФЛВНалоговыйОрганС2015;Документ;Справка 2-НДФЛ для передачи в ИФНС;Документ_СправкаПоНДФЛВНалоговыйОрганС2015.md
Документ.СправкаПоНДФЛСотруднику;Документ;Справка 2-НДФЛ для сотрудников (с 2010 по 2014 год);Документ_СправкаПоНДФЛСотруднику.md
Документ.СправкаПоНДФЛСотрудникуС2015;Документ;Справка 2-НДФЛ для сотрудников (с 2015 года);Документ_СправкаПоНДФЛСотрудникуС2015.md
Документ.Сторнирование;Документ;Сторнирование;Документ_Сторнирование.md
Документ.СчетНаОплатуПокупателю;Документ;Счет на оплату покупателю;Документ_СчетНаОплатуПокупателю.md
Документ.СчетНаОплатуПоставщика;Документ;Счет на оплату поставщика;Документ_СчетНаОплатуПоставщика.md
Документ.СчетФактураВыданный;Документ;Счет-фактура выданный;Документ_СчетФактураВыданный.md
Документ.СчетФактураПолученный;Документ;Счет-фактура полученный;Документ_СчетФактураПолученный.md
Документ.ТабельУчетаРабочегоВремениОрганизации;Документ;Табель учета рабочего времени организации;Документ_ТабельУчетаРабочегоВремениОрганизации.md
Документ.ТранспортнаяНакладнаяЕГАИС;Документ;Транспортная накладная ЕГАИС;Документ_ТранспортнаяНакладнаяЕГАИС.md
Документ.ТранспортноеСообщение;Документ;Транспортное сообщение;Документ_ТранспортноеСообщение.md
Документ.ТребованиеНакладная;Документ;Требование-накладная;Документ_ТребованиеНакладная.md
Документ.ТТНВходящаяЕГАИС;Документ;Товарно-транспортная накладная ЕГАИС (входящая);Документ_ТТНВходящаяЕГАИС.md
Документ.ТТНИсходящаяЕГАИС;Документ;Товарно-транспортная накладная ЕГАИС (исходящая);Документ_ТТНИсходящаяЕГАИС.md
Документ.УведомлениеОбОстаткахПрослеживаемыхТоваров;Документ;Уведомление об остатках прослеживаемых товаров;Документ_УведомлениеОбОстаткахПрослеживаемыхТоваров.md
Документ.УведомлениеОВвозеПрослеживаемыхТоваров;Документ;Уведомление о ввозе прослеживаемых товаров;Документ_УведомлениеОВвозеПрослеживаемыхТоваров.md
Документ.УведомлениеОКонтролируемыхСделках;Документ;Уведомление о контролируемых сделках;Документ_УведомлениеОКонтролируемыхСделках.md
Документ.УведомлениеОПеремещенииПрослеживаемыхТоваров;Документ;Уведомление о перемещении прослеживаемых товаров в ЕАЭС;Документ_УведомлениеОПеремещенииПрослеживаемыхТоваров.md
Документ.УведомлениеОПланируемомИмпортеЕГАИС;Документ;Уведомление о планируемом импорте ЕГАИС;Документ_УведомлениеОПланируемомИмпортеЕГАИС.md
Документ.УведомлениеОПолучателеДокументов;Документ;Уведомление о получателе документов;Документ_УведомлениеОПолучателеДокументов.md
Документ.УведомлениеОПредоставленииПолномочийПредставителю;Документ;Уведомление о предоставлении полномочий представителю;Документ_УведомлениеОПредоставленииПолномочийПредставителю.md
Документ.УведомлениеОПрекращенииОтпускаПоУходуЗаРебенком;Документ;Уведомление о прекращении отпуска по уходу за ребенком;Документ_УведомлениеОПрекращенииОтпускаПоУходуЗаРебенком.md
Документ.УведомлениеОПрекращенииПолномочийПредставителя;Документ;Уведомление о прекращении полномочий представителя;Документ_УведомлениеОПрекращенииПолномочийПредставителя.md
Документ.Увольнение;Документ;Увольнение;Документ_Увольнение.md
Документ.УвольнениеИзОрганизаций;Документ;Увольнение из организаций;Документ_УвольнениеИзОрганизаций.md
Документ.УдалитьВозвратНаРаботу;Документ;(не используется) Возврат на работу;Документ_УдалитьВозвратНаРаботу.md
Документ.УдалитьКассовыйЧекКоррекции;Документ;(не используется) Кассовый чек коррекции;Документ_УдалитьКассовыйЧекКоррекции.md
Документ.УдалитьКорректировочныйСчетФактураВыданный;Документ;(не используется) Корректировочный счет-фактура выданный;Документ_УдалитьКорректировочныйСчетФактураВыданный.md
Документ.УдалитьКорректировочныйСчетФактураПолученный;Документ;(не используется) Корректировочный счет-фактура полученный;Документ_УдалитьКорректировочныйСчетФактураПолученный.md
Документ.УдалитьОтсутствиеНаРаботе;Документ;(не используется) Отсутствие на работе;Документ_УдалитьОтсутствиеНаРаботе.md
Документ.УдалитьПроизвольныйЭД;Документ;(не используется) Произвольный документ;Документ_УдалитьПроизвольныйЭД.md
Документ.УдалитьЭлектронныйДокументВходящий;Документ;(не используется) Входящий электронный документ;Документ_УдалитьЭлектронныйДокументВходящий.md
Документ.УдалитьЭлектронныйДокументВходящий2;Документ;(не используется) Входящий электронный документ2;Документ_УдалитьЭлектронныйДокументВходящий2.md
Документ.УдалитьЭлектронныйДокументИсходящий;Документ;(не используется) Исходящий электронный документ;Документ_УдалитьЭлектронныйДокументИсходящий.md
Документ.УдалитьЭлектронныйДокументИсходящий2;Документ;(не используется) Исходящий электронный документ2;Документ_УдалитьЭлектронныйДокументИсходящий2.md
Документ.УсловияПоставокПоДоговорамКонтрагентов;Документ;Условия поставок по договорам контрагентов;Документ_УсловияПоставокПоДоговорамКонтрагентов.md
Документ.УслугиСобственнымПодразделениям;Документ;Услуги собственным подразделениям;Документ_УслугиСобственнымПодразделениям.md
Документ.УстановкаБазыРаспределенияЗатрат;Документ;Установка базы распределения затрат;Документ_УстановкаБазыРаспределенияЗатрат.md
Документ.УстановкаДиапазоновБазовыхЦен;Документ;Установка диапазонов базовых цен;Документ_УстановкаДиапазоновБазовыхЦен.md
Документ.УстановкаДолейРаспределенияПоПроектам;Документ;Установка долей распределения по проектам;Документ_УстановкаДолейРаспределенияПоПроектам.md
Документ.УстановкаЗависимостейОборотовПоСтатьям;Документ;Установка зависимостей оборотов по статьям;Документ_УстановкаЗависимостейОборотовПоСтатьям.md
Документ.УстановкаЗначенийТочкиЗаказа;Документ;Установка значений точки заказа;Документ_УстановкаЗначенийТочкиЗаказа.md
Документ.УстановкаНаценокПоУсловиямПродаж;Документ;Установка наценок по условиям продаж;Документ_УстановкаНаценокПоУсловиямПродаж.md
Документ.УстановкаПараметровУчетаНоменклатуры;Документ;Установка параметров учета номенклатуры;Документ_УстановкаПараметровУчетаНоменклатуры.md
Документ.УстановкаПороговНакопительныхСкидок;Документ;Установка порогов накопительных скидок;Документ_УстановкаПороговНакопительныхСкидок.md
Документ.УстановкаПорядкаЗакрытияПодразделений;Документ;Установка порядка закрытия подразделений;Документ_УстановкаПорядкаЗакрытияПодразделений.md
Документ.УстановкаСкидокНоменклатуры;Документ;Установка скидок номенклатуры;Документ_УстановкаСкидокНоменклатуры.md
Документ.УстановкаСоответствияСчетовБУиМСФО;Документ;Установка соответствия счетов БУ и МСФО;Документ_УстановкаСоответствияСчетовБУиМСФО.md
Документ.УстановкаСоответствияСчетовБУиНУ;Документ;Установка соответствия счетов БУ и НУ;Документ_УстановкаСоответствияСчетовБУиНУ.md
Документ.УстановкаТиповЦенПоГруппамНоменклатурыДляПокупателей;Документ;Установка типов цен по группам номенклатуры для покупателей;Документ_УстановкаТиповЦенПоГруппамНоменклатурыДляПокупателей.md
Документ.УстановкаЦенНоменклатуры;Документ;Установка цен номенклатуры;Документ_УстановкаЦенНоменклатуры.md
Документ.УстановкаЦенНоменклатурыКонтрагентов;Документ;Установка цен номенклатуры контрагентов;Документ_УстановкаЦенНоменклатурыКонтрагентов.md
Документ.УточнениеСведенийОКодахМаркировкиИСМП;Документ; Уточнение сведений о кодах маркировки ИС МП;Документ_УточнениеСведенийОКодахМаркировкиИСМП.md
Документ.УчастиеВМероприятиях;Документ;Участие в мероприятиях;Документ_УчастиеВМероприятиях.md
Документ.УчетЗаработкаРаботников;Документ;Учет заработка сотрудников;Документ_УчетЗаработкаРаботников.md
Документ.УчетЗатратНаИсточникиПерсонала;Документ;Учет затрат на источники персонала;Документ_УчетЗатратНаИсточникиПерсонала.md
Документ.УчетОсновногоЗаработкаРаботниковОрганизацииВРегламентированномУчете;Документ;Учет основного заработка сотрудников организации в регламентированном учете;Документ_УчетОсновногоЗаработкаРаботниковОрганизацииВРегламентированномУчете.md
Документ.УчетПоложенийПереходногоПериодаПоНДС;Документ;Учет положений переходного периода по НДС;Документ_УчетПоложенийПереходногоПериодаПоНДС.md
Документ.УчетФактическихДанныхПоБюджетам;Документ;Учет фактических данных по бюджетам;Документ_УчетФактическихДанныхПоБюджетам.md
Документ.ФиксацияБюджетов;Документ;Фиксация бюджетов;Документ_ФиксацияБюджетов.md
Документ.ФормированиеЗаписейКнигиПокупок;Документ;Формирование записей книги покупок;Документ_ФормированиеЗаписейКнигиПокупок.md
Документ.ФормированиеЗаписейКнигиПродаж;Документ;Формирование записей книги продаж;Документ_ФормированиеЗаписейКнигиПродаж.md
Документ.ФормированиеПартийЗЕРНО;Документ;Формирование партий ФГИС "Зерно";Документ_ФормированиеПартийЗЕРНО.md
Документ.ФормированиеПартийИзДругихПартийЗЕРНО;Документ;Формирование партий из других партий ФГИС "Зерно";Документ_ФормированиеПартийИзДругихПартийЗЕРНО.md
Документ.ФормированиеПартийПриПроизводствеЗЕРНО;Документ;Формирование партий продуктов переработки зерна при производстве ФГИС "Зерно";Документ_ФормированиеПартийПриПроизводствеЗЕРНО.md
Документ.ФормированиеПотребностей;Документ;Формирование потребностей;Документ_ФормированиеПотребностей.md
Документ.ЧекЕГАИС;Документ;Чек ЕГАИС;Документ_ЧекЕГАИС.md
Документ.ЧекЕГАИСВозврат;Документ;Чек ЕГАИС на возврат;Документ_ЧекЕГАИСВозврат.md
Документ.ЧекККМ;Документ;Чек ККМ;Документ_ЧекККМ.md
Документ.ЧекККМКоррекции;Документ;Чек ККМ коррекции;Документ_ЧекККМКоррекции.md
Документ.ЭлектронноеПисьмо;Документ;Электронное письмо;Документ_ЭлектронноеПисьмо.md
Документ.ЭлектронныйДокументВходящий;Документ;Входящий электронный документ;Документ_ЭлектронныйДокументВходящий.md
Документ.ЭлектронныйДокументИсходящий;Документ;Исходящий электронный документ;Документ_ЭлектронныйДокументИсходящий.md
Документ.ОтменаРезервированияТоваров;Документ;Отмена резервирования товаров;Документ_ОтменаРезервированияТоваров.md
Документ.УстановкаНедельныхЛимитов;Документ;Установка недельных лимитов;Документ_УстановкаНедельныхЛимитов.md
Документ.ВводОстатковНЗП;Документ;Ввод остатков НЗП;Документ_ВводОстатковНЗП.md
Документ.ГрупповаяКомплектация;Документ;Групповая комплектация;Документ_ГрупповаяКомплектация.md
РегистрСведений.ABCКлассификацияПокупателей;РегистрСведений;ABC-классификация покупателей;РегистрСведений_ABCКлассификацияПокупателей.md
РегистрСведений.АвансыРаботникам;РегистрСведений;Авансы сотрудникам;РегистрСведений_АвансыРаботникам.md
РегистрСведений.АвансыРаботникамОрганизаций;РегистрСведений;Авансы сотрудникам организаций;РегистрСведений_АвансыРаботникамОрганизаций.md
РегистрСведений.АдресныеОбъекты;РегистрСведений;Адресные объекты;РегистрСведений_АдресныеОбъекты.md
РегистрСведений.АдресныйКлассификатор;РегистрСведений;Адресный классификатор;РегистрСведений_АдресныйКлассификатор.md
РегистрСведений.АккредитацияОргановСертификацииНоменклатуры;РегистрСведений;Аккредитация органов сертификации номенклатуры;РегистрСведений_АккредитацияОргановСертификацииНоменклатуры.md
РегистрСведений.АкцизныеМаркиЕГАИС;РегистрСведений;Акцизные марки ЕГАИС;РегистрСведений_АкцизныеМаркиЕГАИС.md
РегистрСведений.АмортизационныеГруппыОКОФ;РегистрСведений;Амортизационные группы ОКОФ;РегистрСведений_АмортизационныеГруппыОКОФ.md
РегистрСведений.АналитикаВидаУчета;РегистрСведений;Аналитика вида учета;РегистрСведений_АналитикаВидаУчета.md
РегистрСведений.АналитикаРаспределенияЗатрат;РегистрСведений;Аналитика распределения затрат;РегистрСведений_АналитикаРаспределенияЗатрат.md
РегистрСведений.АналитикаУчетаЗатрат;РегистрСведений;Аналитика учета затрат;РегистрСведений_АналитикаУчетаЗатрат.md
РегистрСведений.АналитикаУчетаПартий;РегистрСведений;Аналитика учета партий;РегистрСведений_АналитикаУчетаПартий.md
РегистрСведений.АналитикаУчетаПрочихЗатрат;РегистрСведений;Аналитика учета прочих затрат;РегистрСведений_АналитикаУчетаПрочихЗатрат.md
РегистрСведений.АналогиНоменклатуры;РегистрСведений;Аналоги номенклатуры;РегистрСведений_АналогиНоменклатуры.md
РегистрСведений.АрхивДанныхРегламентированнойОтчетности;РегистрСведений;Архив данных регламентированной отчетности;РегистрСведений_АрхивДанныхРегламентированнойОтчетности.md
РегистрСведений.БазаРаспределенияЗатрат;РегистрСведений;База распределения затрат;РегистрСведений_БазаРаспределенияЗатрат.md
РегистрСведений.БазаРаспределенияЗатратБухгалтерскийУчет;РегистрСведений;База распределения затрат (бухгалтерский учет);РегистрСведений_БазаРаспределенияЗатратБухгалтерскийУчет.md
РегистрСведений.БазаРаспределенияЗатратМеждународныйУчет;РегистрСведений;База распределения затрат (международный учет);РегистрСведений_БазаРаспределенияЗатратМеждународныйУчет.md
РегистрСведений.БазаРаспределенияЗатратНалоговыйУчет;РегистрСведений;База распределения затрат (налоговый учет);РегистрСведений_БазаРаспределенияЗатратНалоговыйУчет.md
РегистрСведений.БезопасноеХранилищеДанных;РегистрСведений;Безопасное хранилище данных;РегистрСведений_БезопасноеХранилищеДанных.md
РегистрСведений.ВариантыВстроенныхАлгоритмовРасчетаЗарплаты;РегистрСведений;Варианты встроенных алгоритмов расчета зарплаты;РегистрСведений_ВариантыВстроенныхАлгоритмовРасчетаЗарплаты.md
РегистрСведений.ВеличинаПрожиточногоМинимума;РегистрСведений;Величина прожиточного минимума;РегистрСведений_ВеличинаПрожиточногоМинимума.md
РегистрСведений.ВерсииКлассификаторов;РегистрСведений;Версии классификаторов;РегистрСведений_ВерсииКлассификаторов.md
РегистрСведений.ВерсииКлассификаторовОбластейДанных;РегистрСведений;Версии классификаторов областей данных;РегистрСведений_ВерсииКлассификаторовОбластейДанных.md
РегистрСведений.ВерсииОбъектов;РегистрСведений;Версии объектов;РегистрСведений_ВерсииОбъектов.md
РегистрСведений.ВерсииПодсистем;РегистрСведений;Версии подсистем;РегистрСведений_ВерсииПодсистем.md
РегистрСведений.ВзаимозависимыеЛица;РегистрСведений;Взаимозависимые лица;РегистрСведений_ВзаимозависимыеЛица.md
РегистрСведений.ВидыСельскохозяйственныхКультурЗЕРНО;РегистрСведений;Виды сельскохозяйственных культур ФГИС "Зерно";РегистрСведений_ВидыСельскохозяйственныхКультурЗЕРНО.md
РегистрСведений.ВложенияНеформализованныхДокументов;РегистрСведений;Вложения неформализованных документов;РегистрСведений_ВложенияНеформализованныхДокументов.md
РегистрСведений.ВложенныеШтрихкодыАТКИСМП;РегистрСведений;Вложенные штрихкоды АТК ИС МП;РегистрСведений_ВложенныеШтрихкодыАТКИСМП.md
РегистрСведений.ВнешниеКомпоненты;РегистрСведений;Внешние компоненты;РегистрСведений_ВнешниеКомпоненты.md
РегистрСведений.ВоинскийУчет;РегистрСведений;Воинский учет;РегистрСведений_ВоинскийУчет.md
РегистрСведений.ВременноПребывающиеПринятыеПоДолгосрочнымДоговорам;РегистрСведений;Временно пребывающие иностранные граждане, принятые по долгосрочным договорам;РегистрСведений_ВременноПребывающиеПринятыеПоДолгосрочнымДоговорам.md
РегистрСведений.ВремяДействияСкидок;РегистрСведений;Время действия скидок;РегистрСведений_ВремяДействияСкидок.md
РегистрСведений.ВстречныйВыпускПродукцииУслуг;РегистрСведений;Встречный выпуск продукции услуг;РегистрСведений_ВстречныйВыпускПродукцииУслуг.md
РегистрСведений.ВходящиеСообщенияСЭДОФСС;РегистрСведений;Входящие сообщения СЭДОФСС;РегистрСведений_ВходящиеСообщенияСЭДОФСС.md
РегистрСведений.ГосударственныеПособия;РегистрСведений;Государственные пособия;РегистрСведений_ГосударственныеПособия.md
РегистрСведений.ГражданствоФизЛиц;РегистрСведений;Гражданство физического лица;РегистрСведений_ГражданствоФизЛиц.md
РегистрСведений.ГраницыЗапретаИзмененияДанных;РегистрСведений;Границы запрета изменения данных;РегистрСведений_ГраницыЗапретаИзмененияДанных.md
РегистрСведений.ГраницыКонтролируемостиСделок;РегистрСведений;Границы контролируемости сделок;РегистрСведений_ГраницыКонтролируемостиСделок.md
РегистрСведений.ГраницыПериодовБюджетирования;РегистрСведений;Границы периодов бюджетирования;РегистрСведений_ГраницыПериодовБюджетирования.md
РегистрСведений.ГраницыПериодовПланирования;РегистрСведений;Границы периодов планирования;РегистрСведений_ГраницыПериодовПланирования.md
РегистрСведений.ГрафикиАмортизацииОС;РегистрСведений;Графики амортизации ОС;РегистрСведений_ГрафикиАмортизацииОС.md
РегистрСведений.ГрафикиАмортизацииОСБухгалтерскийУчет;РегистрСведений;Графики амортизации ОС (бухгалтерский учет);РегистрСведений_ГрафикиАмортизацииОСБухгалтерскийУчет.md
РегистрСведений.ГрафикиРаботыПоВидамВремени;РегистрСведений;Графики работы по видам времени;РегистрСведений_ГрафикиРаботыПоВидамВремени.md
РегистрСведений.ГрафикиРаботыПоСменам;РегистрСведений;Графики работы по сменам;РегистрСведений_ГрафикиРаботыПоСменам.md
РегистрСведений.ГрафикиРабочихЦентров;РегистрСведений;Графики рабочих центров;РегистрСведений_ГрафикиРабочихЦентров.md
РегистрСведений.ГрафикОтпусковОрганизаций;РегистрСведений;График отпусков организаций;РегистрСведений_ГрафикОтпусковОрганизаций.md
РегистрСведений.ГруппыРассылкиУчетныхЗаписейЭлектроннойПочты;РегистрСведений;Группы рассылки учетных записей электронной почты;РегистрСведений_ГруппыРассылкиУчетныхЗаписейЭлектроннойПочты.md
РегистрСведений.ДанныеRFIDИСМП;РегистрСведений;Данные RFID ИСМП;РегистрСведений_ДанныеRFIDИСМП.md
РегистрСведений.ДанныеДляПланированияЗанятостиРабочихЦентров;РегистрСведений;Данные для планирования занятости рабочих центров;РегистрСведений_ДанныеДляПланированияЗанятостиРабочихЦентров.md
РегистрСведений.ДанныеКлючаСессииИСМП;РегистрСведений;Данные ключа сессии ИС МП;РегистрСведений_ДанныеКлючаСессииИСМП.md
РегистрСведений.ДанныеНезарегистрированныхКонтрагентов;РегистрСведений;Данные незарегистрированных контрагентов;РегистрСведений_ДанныеНезарегистрированныхКонтрагентов.md
РегистрСведений.ДанныеОбъектовДляРегистрацииВОбменах;РегистрСведений;Данные объектов для регистрации в обменах;РегистрСведений_ДанныеОбъектовДляРегистрацииВОбменах.md
РегистрСведений.ДанныеОтчетаПроизводственнойЛинииИСМП;РегистрСведений;Данные отчета производственной линии ИС МП;РегистрСведений_ДанныеОтчетаПроизводственнойЛинииИСМП.md
РегистрСведений.ДатыЗапретаИзмененияНачислений;РегистрСведений;Даты запрета изменения начислений;РегистрСведений_ДатыЗапретаИзмененияНачислений.md
РегистрСведений.ДеревоСпецификаций;РегистрСведений;Дерево спецификаций;РегистрСведений_ДеревоСпецификаций.md
